Conf. Session	Date	Time CET (Local Time)	Poster Session	Track	Board 	Paper ID	Paper Title	First Authors	Status	Authors	1st Author	2nd Author	3rd Author	4th Author	5th Author	6th Author	7th Author	8th Author	Change from 	Change to 	Complete	GT Spawn point	Authors																
Business Meeting	2024-03-19	13 - 13:45	Virtual GT A-SRW			SRW 15	AttriSage: Product Attribute Value Extraction Using Graph Neural Networks	Rohan Potta	Session 7 + Virtual Session 1	Rohan Potta, Mallika Asthana, Siddhant Yadav, Nidhi Goyal, Sai Amrit Patnaik and Parul Jain	Rohan Potta	Mallika Asthana	Siddhant Yadav	Nidhi Goyal	Sai Amrit Patnaik and Parul Jain							https://app.gather.town/app/XDzSQW1b0mpTTAYr/EACL2024?spawnToken=fJKrGuSfRiey19rcTCuu	Rohan Potta	Mallika Asthana	Siddhant Yadav	Nidhi Goyal	Sai Amrit Patnaik and Parul Jain												
Business Meeting	2024-03-19	13 - 13:45	Virtual GT A-SRW			SRW 24	Arabic Synonym BERT-based Adversarial Examples for Text Classification	Norah F Alshahrani	Confirmed Virtual	Norah F Alshahrani, Saied Alshahrani, Esma Wali and Jeanna Matthews	Norah F Alshahrani	Saied Alshahrani	Esma Wali and Jeanna Matthews									https://app.gather.town/app/XDzSQW1b0mpTTAYr/EACL2024?spawnToken=88hb8WHcQ1G1EYFxQv_-	Norah F Alshahrani	Saied Alshahrani	Esma Wali and Jeanna Matthews														
Business Meeting	2024-03-19	13 - 13:45	Virtual GT A-SRW			SRW 28	Align before Attend: Aligning Visual and Textual Features for Multimodal Hateful Content Detection	Eftekhar Hossain	Confirmed Virtual	Eftekhar Hossain, Omar Sharif, Mohammed Moshiul Hoque and Sarah Masud Preum	Eftekhar Hossain	Omar Sharif	Mohammed Moshiul Hoque and Sarah Masud Preum									https://app.gather.town/app/XDzSQW1b0mpTTAYr/EACL2024?spawnToken=s8_pYe1LTpyJuS4WhfEv	Eftekhar Hossain	Omar Sharif	Mohammed Moshiul Hoque and Sarah Masud Preum														
Business Meeting	2024-03-19	13 - 13:45	Virtual GT A-SRW			SRW 33	Thesis Proposal: {D}etecting Agency Attribution	Igor Ryazanov	Confirmed Virtual	Igor Ryazanov and Johanna Björklund	Igor Ryazanov a	Johanna Björklund										https://app.gather.town/app/XDzSQW1b0mpTTAYr/EACL2024?spawnToken=cCYVvj3tT7S_TcNQ3R2v	Igor Ryazanov and Johanna Björklund																
Business Meeting	2024-03-19	13 - 13:45	Virtual GT A-SRW			SRW 36	Social Media Portrayals of Happy Moments Among Depressed Individuals	Ana-Maria Bucur	Confirmed Virtual	Ana-Maria Bucur, Berta Chulvi, Adrian Cosma, Paolo Rosso	Ana-Maria Bucur	Berta Chulvi	Adrian Cosma	Paolo Rosso								https://app.gather.town/app/XDzSQW1b0mpTTAYr/EACL2024?spawnToken=Vm7fUmAmTeu8cZPvxMbI	Ana-Maria Bucur	Berta Chulvi	Adrian Cosma	Paolo Rosso													
Business Meeting	2024-03-19	13 - 13:45	Virtual GT A-SRW			SRW 40	Large Language Models for Mathematical Reasoning: Progresses and Challenges	Janice Ahn	Confirmed In-Person	Janice Ahn, Rishu Verma, Renze Lou, Di Liu, Rui Zhang and Wenpeng Yin	Janice Ahn	Rishu Verma	Renze Lou	Di Liu	Rui Zhang and Wenpeng Yin				Session 7 - 03/19 - 14:00 - In Person SRW	Bus Meeting - 03/19 - 13:00 - Virtual GT SRW	DONE on UL and in EACL 2024 Program Public	https://app.gather.town/app/XDzSQW1b0mpTTAYr/EACL2024?spawnToken=-qNXQzMqRpil8Gd5ke7x	Janice Ahn	Rishu Verma	Renze Lou	Di Liu	Rui Zhang and Wenpeng Yin												
Business Meeting	2024-03-19	13 - 13:45	Virtual GT A-SRW			SRW 47	Generative Data Augmentation using LLMs improves Distributional Robustness in Question Answering	Arijit Ghosh Chowdhur	Confirmed Virtual	Arijit Ghosh Chowdhury and Aman Chadha	Arijit Ghosh Chowdhury 	Aman Chadha										https://app.gather.town/app/XDzSQW1b0mpTTAYr/EACL2024?spawnToken=_HMaBNC4SI2ceEt7NbUF	Arijit Ghosh Chowdhury and Aman Chadha																
Business Meeting	2024-03-19	13 - 13:45	Virtual GT A-SRW			SRW 55	Thesis Proposal: Detecting Empathy Using Multimodal Language Model	Md Rakibul Hasan	Confirmed Virtual	Md Rakibul Hasan, Md Zakir Hossain, Aneesh Krishna, Shafin Rahman and Tom Gedeon	Md Rakibul Hasan	Md Zakir Hossain	Aneesh Krishna	Shafin Rahman and Tom Gedeon								https://app.gather.town/app/XDzSQW1b0mpTTAYr/EACL2024?spawnToken=bGcSgSqJRzK2f8eAC6En	Md Rakibul Hasan	Md Zakir Hossain	Aneesh Krishna	Shafin Rahman and Tom Gedeon													
Session 7	2024-03-19	14-15:30	In-Person SRW		1	SRW 25	A Hypothesis-Driven Framework for the Analysis of Self-Rationalising Models	Marc Braun 	Confirmed In-Person	Marc Braun and Jenny Kunz	Marc Braun 	Jenny Kunz											Marc Braun and Jenny Kunz																
Session 7	2024-03-19	14-15:30	In-Person SRW		2	SRW 37	A Thesis Proposal ClaimInspector Framework: A Hybrid Approach to Data Annotation using Fact-Checked Claims and LLMs	Basak Bozkurt	Confirmed In-Person	Basak Bozkurt	Basak Bozkurt												Basak Bozkurt																
Session 7	2024-03-19	14-15:30	In-Person SRW		3	SRW 15	AttriSage: Product Attribute Value Extraction Using Graph Neural Networks	Rohan Potta	Session 7 + Virtual Session 1	Rohan Potta, Mallika Asthana, Siddhant Yadav, Nidhi Goyal, Sai Amrit Patnaik and Parul Jain	Rohan Potta	Mallika Asthana	Siddhant Yadav	Nidhi Goyal	Sai Amrit Patnaik and Parul Jain								Rohan Potta	Mallika Asthana	Siddhant Yadav	Nidhi Goyal	Sai Amrit Patnaik and Parul Jain												
Session 7	2024-03-19	14-15:30	In-Person SRW		4	SRW 1	AutoAugment Is What You Need: Enhancing Rule-based Augmentation Methods in Low-resource Regimes	Juhwan Choi	Confirmed In-Person	Juhwan Choi, Kyohoon Jin, Junho Lee, Sangmin Song and YoungBin Kim	Juhwan Choi	Kyohoon Jin	Junho Lee	Sangmin Song and YoungBin Kim									Juhwan Choi	Kyohoon Jin	Junho Lee	Sangmin Song and YoungBin Kim													
Session 7	2024-03-19	14-15:30	In-Person SRW		5	SRW 53	Benchmarking Diffusion Models for Machine Translation	Yunus Demirag	Confirmed In-Person	Yunus Demirag, Danni Liu and Jan Niehues	Yunus Demirag	Danni Liu and Jan Niehues											Yunus Demirag	Danni Liu and Jan Niehues															
Session 7	2024-03-19	14-15:30	In-Person SRW		6	SRW 52	Can docstring reformulation with an LLM improve code generation?	Nicola Dainese	Confirmed In-Person	Nicola Dainese, Alexander Ilin and Pekka Marttinen	Nicola Dainese	Alexander Ilin and Pekka Marttinen											Nicola Dainese	Alexander Ilin and Pekka Marttinen															
Session 7	2024-03-19	14-15:30	In-Person SRW		7	SRW 4	Can Stanza be Used for Part-of-Speech Tagging Historical Polish?	Maria Irena Szawerna	Confirmed In-Person	Maria Irena Szawerna	Maria Irena Szawerna												Maria Irena Szawerna																
Session 7	2024-03-19	14-15:30	In-Person SRW		8	SRW 62	Dynamic Task-Oriented Dialogue: A Comparative Study of Llama-2 and Bert in Slot Value Generation	Tiziano Labruna	Confirmed In-Person	Tiziano Labruna, Sofia Brenna and Bernardo Magnini	Tiziano Labruna	Sofia Brenna and Bernardo Magnini											Tiziano Labruna	Sofia Brenna and Bernardo Magnini															
Session 7	2024-03-19	14-15:30	In-Person SRW		9	SRW 27	Exploring Large Language Models' Understanding of Shitsukan	Yukiko Ishizuki	Confirmed In-Person	Yukiko Ishizuki, Daiki Shiono, Ana Brassard, Jun Suzuki	Yukiko Ishizuki	Daiki Shiono	Ana Brassard	Jun Suzuki									Yukiko Ishizuki	Daiki Shiono	Ana Brassard	Jun Suzuki													
Session 7	2024-03-19	14-15:30	In-Person SRW		10	SRW 54	Forged-GAN-BERT: Authorship Attribution for LLM-Generated Forged Novels	Kanishka Silva	Confirmed In-Person	Kanishka Silva, Ingo Frommholz, Burcu Can, Fred Blain, Raheem Sarwar and Laura Ugolini	Kanishka Silva	Ingo Frommholz	Burcu Can	Fred Blain	Raheem Sarwar and Laura Ugolini								Kanishka Silva	Ingo Frommholz	Burcu Can	Fred Blain	Raheem Sarwar and Laura Ugolini												
Session 7	2024-03-19	14-15:30	In-Person SRW		11	SRW 2	Generating Diverse Translation with Perturbed $k$nn-MT	Yuto Nishida	Confirmed In-Person	Yuto Nishida, Makoto Morishita, Hidetaka Kamigaito and Taro Watanabe	Yuto Nishida	Makoto Morishita	Hidetaka Kamigaito and Taro Watanabe										Yuto Nishida	Makoto Morishita	Hidetaka Kamigaito and Taro Watanabe														
Session 7	2024-03-19	14-15:30	In-Person SRW		12	SRW 51	GesNavi: Gesture-guided Outdoor Vision-and-Language Navigation	Aman Jain	Confirmed In-Person	Aman Jain, Teruhisa Misu, Kentaro Yamada and Hitomi Yanaka	Aman Jain	Teruhisa Misu	Kentaro Yamada and Hitomi Yanaka										Aman Jain	Teruhisa Misu	Kentaro Yamada and Hitomi Yanaka														
Session 7	2024-03-19	14-15:30	In-Person SRW		13	SRW 17	HypoTermQA: Hypothetical Terms Dataset for Benchmarking Hallucination Tendency of LLMs	Cem Uluoglakci 	Confirmed In-Person	Cem Uluoglakci and Tugba Taskaya Temizel	Cem Uluoglakci 	Tugba Taskaya Temizel											Cem Uluoglakci and Tugba Taskaya Temizel																
Session 7	2024-03-19	14-15:30	In-Person SRW		14	SRW 48	Japanese-English Sentence Translation Exercises Dataset for Automatic Grading	Naoki Miura	Confirmed In-Person	Naoki Miura, Hiroaki Funayama, Seiya Kikuchi, Yuichiroh Matsubayashi, Yuya Iwase and Ken- taro Inui	Naoki Miura	Hiroaki Funayama	Seiya Kikuchi	Yuichiroh Matsubayashi	Yuya Iwase and Ken- taro Inui								Naoki Miura	Hiroaki Funayama	Seiya Kikuchi	Yuichiroh Matsubayashi	Yuya Iwase and Ken- taro Inui												
Session 7	2024-03-19	14-15:30	In-Person SRW		15	SRW 61	On Sociodemographics Variables and Sociodemographic Prompting	Tiancheng Hu	Confirmed In-Person	Tiancheng Hu, Nigel Collier	Tiancheng Hu	Nigel Collier											Tiancheng Hu	Nigel Collier															
Session 7	2024-03-19	14-15:30	In-Person SRW		16	SRW 31	Reforging : A Method for Constructing a Linguistically Valid Japanese CCG Treebank	Asa Tomita	Confirmed In-Person	Asa Tomita, Hitomi Yanaka and Daisuke Bekki	Asa Tomita	Hitomi Yanaka and Daisuke Bekki											Asa Tomita	Hitomi Yanaka and Daisuke Bekki															
Session 7	2024-03-19	14-15:30	In-Person SRW		17	SRW 41	Representation and Generation of Machine Learning Test Functions	Souha Ben Hassine 	Confirmed In-Person	Souha Ben Hassine and Steven R. Wilson	Souha Ben Hassine 	Steven R. Wilson											Souha Ben Hassine and Steven R. Wilson																
Session 7	2024-03-19	14-15:30	In-Person SRW		18	SRW 46	The Generative AI Paradox in Evaluation: "What It Can Solve, It May Not Evaluate"	Juhyun Oh	Confirmed In-Person	Juhyun Oh, Eunsu Kim, Inha Cha and Alice Oh	Juhyun Oh	Eunsu Kim	Inha Cha and Alice Oh										Juhyun Oh	Eunsu Kim	Inha Cha and Alice Oh														
Session 7	2024-03-19	14-15:30	In-Person SRW		19	SRW 49	The Impact of Integration Step on Integrated Gradients	Masahiro Makino	Confirmed In-Person	Masahiro Makino, Yuya Asazuma, Shota Sasaki and Jun Suzuki	Masahiro Makino	Yuya Asazuma	Shota Sasaki and Jun Suzuki										Masahiro Makino	Yuya Asazuma	Shota Sasaki and Jun Suzuki														
Session 7	2024-03-19	14-15:30	In-Person SRW		20	SRW 29	Topic-guided Example Selection for Domain Adaptation in LLM-based Machine Translation	Seth Aycock 	Confirmed In-Person	Seth Aycock and Rachel Bawden	Seth Aycock 	Rachel Bawden											Seth Aycock and Rachel Bawden																
Session 7	2024-03-19	14-15:30	In-Person SRW		21	SRW 60	Toward Sentiment Aware Semantic Change Analysis	Roksana Goworek	Confirmed In-Person	Roksana Goworek and Haim Dubossarsky	Roksana Goworek 	Haim Dubossarsky											Roksana Goworek and Haim Dubossarsky																
Session 7	2024-03-19	14-15:30	In-Person SRW		22	SRW 8	Toward Zero-Shot Instruction Following	Renze Lou 	Confirmed In-Person	Renze Lou and Wenpeng Yin	Renze Lou 	Wenpeng Yin											Renze Lou and Wenpeng Yin																
Session 8	2024-03-19	16-17:30	In-Person C	Semantics: Sentence-level Semantics, Textual Inference and other areas	22	45	Align and Augment: Generative Data Augmentation for Compositional Generalization	Francesco Cazzaro	Confirmed in person	Francesco Cazzaro, Davide Locatelli, Ariadna Quattoni	Francesco Cazzaro	Davide Locatelli	Ariadna Quattoni										Francesco Cazzaro	Davide Locatelli	Ariadna Quattoni														
Session 8	2024-03-19	16-17:30	In-Person C	Computational Social Science and Cultural Analytics	1	123	AnthroScore: A Computational Linguistic Measure of Anthropomorphism	Myra Cheng	Confirmed in person	Myra Cheng, Kristina Gligoric, Tiziano Piccardi, Dan Jurafsky	Myra Cheng	Kristina Gligoric	Tiziano Piccardi	Dan Jurafsky									Myra Cheng	Kristina Gligoric	Tiziano Piccardi	Dan Jurafsky													
Session 8	2024-03-19	16-17:30	In-Person C	Phonology, Morphology, and Word Segmentation	16	149	Automated Cognate Detection as a Supervised Link Prediction Task with Cognate Transformer	V.S.D.S.Mahesh Akavarapu	Confirmed in person	V.S.D.S.Mahesh Akavarapu, Arnab Bhattacharya	V.S.D.S.Mahesh Akavarapu	Arnab Bhattacharya											V.S.D.S.Mahesh Akavarapu	Arnab Bhattacharya															
Session 8	2024-03-19	16-17:30	In-Person C	Ethics and NLP	7	165	Bias in Opinion Summarisation from Pre-training to Adaptation: A Case Study in Political Bias	Nannan Huang	Confirmed in person	Nannan Huang, Haytham M. Fayek, Xiuzhen Zhang	Nannan Huang	Haytham M. Fayek	Xiuzhen Zhang										Nannan Huang	Haytham M. Fayek	Xiuzhen Zhang														
Session 8	2024-03-19	16-17:30	In-Person C	Semantics: Sentence-level Semantics, Textual Inference and other areas	23	132	Bootstrap Your Own PLM: Boosting Semantic Features of PLMs for Unsuperivsed Contrastive Learning	Yoo Hyun Jeong	Confirmed in person	Yoo Hyun Jeong, Myeong soo Han, Dong-Kyu Chae	Yoo Hyun Jeong	Myeong soo Han	Dong-Kyu Chae										Yoo Hyun Jeong	Myeong soo Han	Dong-Kyu Chae														
Session 8	2024-03-19	16-17:30	In-Person C	Computational Social Science and Cultural Analytics	2	216	Bridging Cultural Nuances in Dialogue Agents through Cultural Value Surveys	Yong Cao	Confirmed in person	Yong Cao, Min Chen, Daniel Hershcovich	Yong Cao	Min Chen	Daniel Hershcovich										Yong Cao	Min Chen	Daniel Hershcovich														
Session 8	2024-03-19	16-17:30	In-Person C	Phonology, Morphology, and Word Segmentation	17	249	Computational Morphology and Lexicography Modeling of Modern Standard Arabic Nominals	Christian Khairallah	Confirmed in person	Christian Khairallah, Reham Marzouk, Salam Khalifa, Mayar Nassar, Nizar Habash	Christian Khairallah	Reham Marzouk	Salam Khalifa	Mayar Nassar	Nizar Habash								Christian Khairallah	Reham Marzouk	Salam Khalifa	Mayar Nassar	Nizar Habash												
Session 8	2024-03-19	16-17:30	In-Person C	Linguistic Theories, Cognitive Modeling and Psycholinguistics	14	313	Describing Images $\textit{Fast and Slow}$: Quantifying and Predicting the Variation in Human Signals during Visuo-Linguistic Processes	Ece Takmaz	Confirmed in person	Ece Takmaz, Sandro Pezzelle, Raquel Fernández	Ece Takmaz	Sandro Pezzelle	Raquel Fernández										Ece Takmaz	Sandro Pezzelle	Raquel Fernández														
Session 8	2024-03-19	16-17:30	In-Person C	Ethics and NLP	8	373	Effective Controllable Bias Mitigation for Classification and Retrieval using Gate Adapters	Shahed Masoudian	Confirmed in person	Shahed Masoudian, Cornelia Volaucnik, Markus Schedl, Navid Rekabsaz	Shahed Masoudian	Cornelia Volaucnik	Markus Schedl	Navid Rekabsaz									Shahed Masoudian	Cornelia Volaucnik	Markus Schedl	Navid Rekabsaz													
Session 8	2024-03-19	16-17:30	In-Person C	Ethics and NLP	9	2	Enhancing Ethical Explanations of Large Language Models through Iterative Symbolic Refinement	XIN QUAN	Confirmed in person	XIN QUAN, Marco Valentino, Louise A. Dennis, Andre Freitas	XIN QUAN	Marco Valentino	Louise A. Dennis	Andre Freitas									XIN QUAN	Marco Valentino	Louise A. Dennis	Andre Freitas													
Session 8	2024-03-19	16-17:30	In-Person C	Semantics: Sentence-level Semantics, Textual Inference and other areas	24	160	Exploring the Potential of ChatGPT on Sentence Level Relations: A Focus on Temporal, Causal, and Discourse Relations	Chunkit Chan	Confirmed in person	Chunkit Chan, Cheng Jiayang, Weiqi Wang, Yuxin Jiang, Tianqing Fang, Xin Liu, Yangqiu Song	Chunkit Chan	Cheng Jiayang	Weiqi Wang	Yuxin Jiang	Tianqing Fang	Xin Liu	Yangqiu Song						Chunkit Chan	Cheng Jiayang	Weiqi Wang	Yuxin Jiang	Tianqing Fang	Xin Liu	Yangqiu Song										
Session 8	2024-03-19	16-17:30	In-Person C	Syntax: Tagging, Chunking and Parsing	30	159	From Partial to Strictly Incremental Constituent Parsing	Ana Ezquerro	Confirmed in person	Ana Ezquerro, Carlos Gómez-Rodríguez, David Vilares	Ana Ezquerro	Carlos Gómez-Rodríguez	David Vilares										Ana Ezquerro	Carlos Gómez-Rodríguez	David Vilares														
Session 8	2024-03-19	16-17:30	In-Person C	Semantics: Lexical	20	220	Graph-based Clustering for Detecting Semantic Change Across Time and Languages	Xianghe Ma	Confirmed in person	Xianghe Ma, Michael Strube, Wei Zhao	Xianghe Ma	Michael Strube	Wei Zhao										Xianghe Ma	Michael Strube	Wei Zhao														
Session 8	2024-03-19	16-17:30	In-Person C	Computational Social Science and Cultural Analytics	3	399	GUMsley: Evaluating Entity Salience in Summarization for 12 English Genres	Jessica Lin	Confirmed in person	Jessica Lin, Amir Zeldes	Jessica Lin	Amir Zeldes											Jessica Lin	Amir Zeldes															
Session 8	2024-03-19	16-17:30	In-Person C	Semantics: Sentence-level Semantics, Textual Inference and other areas	25	278	Human Temporal Inferences Go Beyond Aspectual Class	Katarzyna Pruś	Confirmed in person	Katarzyna Pruś, Mark Steedman, Adam Lopez	Katarzyna Pruś	Mark Steedman	Adam Lopez										Katarzyna Pruś	Mark Steedman	Adam Lopez														
Session 8	2024-03-19	16-17:30	In-Person C	Semantics: Sentence-level Semantics, Textual Inference and other areas	26	182	Improving Generalization in Semantic Parsing by Increasing Natural Language Variation	Irina Saparina	Confirmed in person	Irina Saparina, Mirella Lapata	Irina Saparina	Mirella Lapata											Irina Saparina	Mirella Lapata															
Session 8	2024-03-19	16-17:30	In-Person C	Ethics and NLP	10	390	In-Contextual Gender Bias Suppression for Large Language Models	Daisuke Oba	Confirmed in person	Daisuke Oba, Masahiro Kaneko, Danushka Bollegala	Daisuke Oba	Masahiro Kaneko	Danushka Bollegala										Daisuke Oba	Masahiro Kaneko	Danushka Bollegala														
Session 8	2024-03-19	16-17:30	In-Person C	Computational Social Science and Cultural Analytics	4	243	IndiVec: An Exploration of Leveraging Large Language Models for Media Bias Detection with Fine-Grained Bias Indicators	Luyang Lin	Confirmed in person	Luyang Lin, Lingzhi Wang, Xiaoyan Zhao, Jing Li, Kam-Fai Wong	Luyang Lin	Lingzhi Wang	Xiaoyan Zhao	Jing Li	Kam-Fai Wong								Luyang Lin	Lingzhi Wang	Xiaoyan Zhao	Jing Li	Kam-Fai Wong												
Session 8	2024-03-19	16-17:30	In-Person C	Resources and Evaluation	19	65	LAraBench: Benchmarking Arabic AI with Large Language Models	Ahmed Abdelali	Confirmed in person	Ahmed Abdelali, Hamdy Mubarak, Shammur Absar Chowdhury, Maram Hasanain, Basel Mousi, Sabri Boughorbel, Samir Abdaljalil, Yassine El Kheir, Daniel Izham, Fahim Dalvi, Majd Hawasly, Nizi Nazar, Youssef Ibrahim Elshahawy, Ahmed Ali, Nadir Durrani, Natasa Milic-Frayling, Firoj Alam	Ahmed Abdelali	Hamdy Mubarak	Shammur Absar Chowdhury	Maram Hasanain	Basel Mousi	Sabri Boughorbel	Samir Abdaljalil	Yassine El Kheir	Conf Session 4- 03/18 - 16:00 - Poster Session B	Session 8 - 03/19 - 16:00 - In Person C	DONE on UL and in EACL 2024 Program Public		Ahmed Abdelali	Hamdy Mubarak	Shammur Absar Chowdhury	Maram Hasanain	Basel Mousi	Sabri Boughorbel	Samir Abdaljalil	Yassine El Kheir	Daniel Izham	Fahim Dalvi	Majd Hawasly	Nizi Nazar	Youssef Ibrahim Elshahawy	Ahmed Ali	Nadir Durrani	Natasa Milic-Frayling	Firoj Alam
Session 8	2024-03-19	16-17:30	In-Person C	Linguistic Theories, Cognitive Modeling and Psycholinguistics	15	58	Large Language Models for Psycholinguistic Plausibility Pretesting	Samuel Joseph Amouyal	Confirmed in person	Samuel Joseph Amouyal, Aya Meltzer-Asscher, Jonathan Berant	Samuel Joseph Amouyal	Aya Meltzer-Asscher	Jonathan Berant										Samuel Joseph Amouyal	Aya Meltzer-Asscher	Jonathan Berant														
Session 8	2024-03-19	16-17:30	In-Person C	Ethics and NLP	11	87	MAFIA: Multi-Adapter Fused Inclusive Language Models	Prachi Jain	Confirmed in person	Prachi Jain, Ashutosh Sathe, Varun Gumma, Kabir Ahuja, Sunayana Sitaram	Prachi Jain	Ashutosh Sathe	Varun Gumma	Kabir Ahuja	Sunayana Sitaram								Prachi Jain	Ashutosh Sathe	Varun Gumma	Kabir Ahuja	Sunayana Sitaram												
Session 8	2024-03-19	16-17:30	In-Person C	Computational Social Science and Cultural Analytics	5	154	Morality is Non-Binary: Building a Pluralist Moral Sentence Embedding Space using Contrastive Learning	Jeongwoo Park	Confirmed in person	Jeongwoo Park, Enrico Liscio, Pradeep Kumar Murukannaiah	Jeongwoo Park	Enrico Liscio	Pradeep Kumar Murukannaiah										Jeongwoo Park	Enrico Liscio	Pradeep Kumar Murukannaiah														
Session 8	2024-03-19	16-17:30	In-Person C	Semantics: Lexical	21	3	Multi-Relational Hyperbolic Word Embeddings from Natural Language Definitions	Marco Valentino	Confirmed in person	Marco Valentino, Danilo Carvalho, Andre Freitas	Marco Valentino	Danilo Carvalho	Andre Freitas										Marco Valentino	Danilo Carvalho	Andre Freitas														
Session 8	2024-03-19	16-17:30	In-Person C	Semantics: Sentence-level Semantics, Textual Inference and other areas	27	326	Neuralign: A Context-Aware, Cross-Lingual and Fully-Neural Sentence Alignment System for Long Texts	Francesco Maria Molfese	Confirmed in person	Francesco Maria Molfese, Andrei Stefan Bejgu, Simone Tedeschi, Simone Conia, Roberto Navigli	Francesco Maria Molfese	Andrei Stefan Bejgu	Simone Tedeschi	Simone Conia	Roberto Navigli								Francesco Maria Molfese	Andrei Stefan Bejgu	Simone Tedeschi	Simone Conia	Roberto Navigli												
Session 8	2024-03-19	16-17:30	In-Person C	Information Retrieval and Text Mining	13	342	NevIR: Negation in Neural Information Retrieval	Orion Weller	Confirmed In person	Orion Weller, Dawn Lawrie, Benjamin Van Durme	Orion Weller	Dawn Lawrie	Benjamin Van Durme										Orion Weller	Dawn Lawrie	Benjamin Van Durme														
Session 8	2024-03-19	16-17:30	In-Person C	Computational Social Science and Cultural Analytics	6	190	Probing Critical Learning Dynamics of LLMs for Hate Speech Detection	Sarah Masud	Confirmed in person	Sarah Masud, Mohammad Aflah Khan, Vikram Goyal, Md Shad Akhtar, Tanmoy Chakraborty	Sarah Masud	Mohammad Aflah Khan	Vikram Goyal	Md Shad Akhtar	Tanmoy Chakraborty								Sarah Masud	Mohammad Aflah Khan	Vikram Goyal	Md Shad Akhtar	Tanmoy Chakraborty												
Session 8	2024-03-19	16-17:30	In-Person C	Semantics: Sentence-level Semantics, Textual Inference and other areas	28	226	Rethinking STS and NLI in Large Language Models	Yuxia Wang	Confirmed in person	Yuxia Wang, Minghan Wang, Preslav Nakov	Yuxia Wang	Minghan Wang	Preslav Nakov										Yuxia Wang	Minghan Wang	Preslav Nakov														
Session 8	2024-03-19	16-17:30	In-Person C	Semantics: Sentence-level Semantics, Textual Inference and other areas	29	131	Simple Temperature Cool-down in Contrastive Framework for Unsupervised Sentence Representation Learning	Yoo Hyun Jeong	Confirmed in person	Yoo Hyun Jeong, Myeong soo Han, Dong-Kyu Chae	Yoo Hyun Jeong	Myeong soo Han	Dong-Kyu Chae										Yoo Hyun Jeong	Myeong soo Han	Dong-Kyu Chae														
Session 8	2024-03-19	16-17:30	In-Person C	Ethics and NLP	12	263	Uncovering Stereotypes in Large Language Models: A Task Complexity-based Approach	Hari Shrawgi	Confirmed in person	Hari Shrawgi, Prasanjit Rath, Tushar Singhal, Sandipan Dandapat	Hari Shrawgi	Prasanjit Rath	Tushar Singhal	Sandipan Dandapat									Hari Shrawgi	Prasanjit Rath	Tushar Singhal	Sandipan Dandapat													
Session 8	2024-03-19	16-17:30	In-Person C	Phonology, Morphology, and Word Segmentation	18	39	Where are we Still Split on Tokenization?	Rob van der Goot	Confirmed in person	Rob van der Goot	Rob van der Goot												Rob van der Goot																
Session 8	2024-03-19	16-17:30	In-Person C		D-1	DEMO 11	Check News in One Click: NLP-Empowered Pro-Kremlin Propaganda Detection	Veronika Solopova	In person	Veronika Solopova, Viktoriia Herman, Christoph Benzmüller and Tim Landgraf	Veronika Solopova	Viktoriia Herman	Christoph Benzmüller and Tim Landgraf										Veronika Solopova	Viktoriia Herman	Christoph Benzmüller and Tim Landgraf														
Session 8	2024-03-19	16-17:30	In-Person C		D-4	DEMO 22	ScamSpot: Fighting Financial Fraud in Instagram Comments	Stefan Erben	In person	Stefan Erben and Andreas Waldis	Stefan Erben and Andreas Waldis												Stefan Erben and Andreas Waldis																
Session 8	2024-03-19	16-17:30	In-Person C		D-3	DEMO 27	NarrativePlay: Interactive Narrative Understanding	Runcong Zhao	In person	Runcong Zhao, Wenjia Zhang, Jiazheng Li, Lixing Zhu, Yanran Li, Yulan He and Lin Gui	Runcong Zhao	Wenjia Zhang	Jiazheng Li	Lixing Zhu	Yanran Li	Yulan He and Lin Gui							Runcong Zhao	Wenjia Zhang	Jiazheng Li	Lixing Zhu	Yanran Li	Yulan He and Lin Gui											
Session 8	2024-03-19	16-17:30	In-Person C		D-5	DEMO 37	The DURel Annotation Tool: Human and Computational Measurement of Semantic Proximity, Sense Clusters and Semantic Change	Dominik Schlechtweg	In person	Dominik Schlechtweg, Shafqat Mumtaz Virk, Pauline Sander, Emma Sköldberg, Lukas Theuer Linke, Tuo Zhang, Nina Tahmasebi, Jonas Kuhn and Sabine Schulte im Walde	Dominik Schlechtweg	Shafqat Mumtaz Virk	Pauline Sander	Emma Sköldberg	Lukas Theuer Linke	Tuo Zhang	Nina Tahmasebi	Jonas Kuhn and Sabine Schulte im Walde					Dominik Schlechtweg	Shafqat Mumtaz Virk	Pauline Sander	Emma Sköldberg	Lukas Theuer Linke	Tuo Zhang	Nina Tahmasebi	Jonas Kuhn and Sabine Schulte im Walde									
